year,mileage,tax(£),mpg,engineSize
2018.0,5000.0,145.0,46.3,1.2
2015.0,24610.0,205.0,43.6,1.6
2016.0,41883.0,30.0,57.6,1.2
2017.0,22861.0,145.0,50.4,1.4
2017.0,23000.0,145.0,57.7,1.2
2018.0,8085.0,145.0,44.1,1.0
2018.0,20896.0,145.0,37.7,2.5
2016.0,20025.0,125.0,57.6,1.7
2017.0,12455.0,150.0,47.9,1.2
2020.0,100.0,145.0,51.4,1.2
2017.0,22000.0,145.0,46.3,2.0
2019.0,10.0,145.0,47.9,1.6
2018.0,11897.0,145.0,34.9,1.6
2016.0,10916.0,30.0,56.5,1.2
2017.0,27250.0,145.0,57.7,1.2
2019.0,13192.0,150.0,44.1,1.0
2018.0,21859.0,145.0,56.5,1.0
2017.0,14752.0,145.0,44.8,1.6
2014.0,47000.0,20.0,60.1,1.0
2019.0,3168.0,145.0,50.4,1.6
2019.0,10610.0,145.0,36.2,1.6
2013.0,37000.0,300.0,39.2,2.0
2016.0,50193.0,30.0,61.7,1.7
2017.0,20132.0,145.0,60.1,1.0
2010.0,60000.0,125.0,54.3,1.2
2019.0,6040.0,135.0,78.5,1.6
2018.0,39893.0,145.0,51.4,1.4
2015.0,56471.0,30.0,58.9,1.2
2019.0,10.0,145.0,52.3,1.6
2018.0,27353.0,145.0,52.3,1.0
2017.0,32500.0,145.0,58.9,1.2
2016.0,23880.0,20.0,72.4,1.6
2016.0,45876.0,30.0,61.7,1.7
2019.0,8732.0,135.0,62.8,1.6
2018.0,32573.0,150.0,57.7,1.2
2018.0,15500.0,150.0,44.8,1.6
2017.0,23310.0,30.0,61.7,0.0
2015.0,23989.0,125.0,50.4,1.4
2016.0,15053.0,30.0,55.4,1.2
2018.0,9196.0,145.0,57.6,1.2
2013.0,49180.0,305.0,39.2,2.0
2018.0,20165.0,145.0,46.3,1.2
2019.0,150.0,145.0,44.1,1.0
2015.0,25788.0,235.0,38.7,1.6
2015.0,27256.0,30.0,61.7,1.7
2015.0,26413.0,30.0,55.4,1.2
2019.0,4217.0,145.0,60.1,1.0
2017.0,22919.0,200.0,47.1,2.2
